SN	NW	WORD	word_len
1	1	With	4
1	2	his	3
1	3	interest	8
1	4	in	2
1	5	race	4
1	6	cars,	5
1	7	he	2
1	8	formed	6
1	9	a	1
1	10	second	6
1	11	company,	8
1	12	the	3
1	13	Henry	5
1	14	Ford	4
1	15	Company.	8
2	1	During	6
2	2	this	4
2	3	period,	7
2	4	he	2
2	5	personally	10
2	6	drove	5
2	7	his	3
2	8	Quadricycle	11
2	9	to	2
2	10	victory	7
2	11	in	2
2	12	a	1
2	13	race	4
2	14	against	7
2	15	Alexander	9
2	16	Winton,	7
2	17	a	1
2	18	well-known	10
2	19	driver	6
2	20	and	3
2	21	the	3
2	22	heavy	5
2	23	favorite	8
2	24	on	2
2	25	October	7
2	26	10,	3
2	27	1901.	5
3	1	Ford	4
3	2	was	3
3	3	forced	6
3	4	out	3
3	5	of	2
3	6	the	3
3	7	company	7
3	8	by	2
3	9	the	3
3	10	investors,	10
3	11	including	9
3	12	Henry	5
3	13	M.	2
3	14	Leland	6
3	15	in	2
3	16	1902,	5
3	17	and	3
3	18	the	3
3	19	company	7
3	20	was	3
3	21	reorganized	11
3	22	as	2
3	23	Cadillac.	9
4	1	In	2
4	2	1891,	5
4	3	Ford	4
4	4	became	6
4	5	an	2
4	6	engineer	8
4	7	with	4
4	8	the	3
4	9	Edison	6
4	10	Illuminating	12
4	11	Company,	8
4	12	and	3
4	13	after	5
4	14	his	3
4	15	promotion	9
4	16	to	2
4	17	Chief	5
4	18	Engineer	8
4	19	in	2
4	20	1893,	5
4	21	he	2
4	22	had	3
4	23	enough	6
4	24	time	4
4	25	and	3
4	26	money	5
4	27	to	2
4	28	devote	6
4	29	attention	9
4	30	to	2
4	31	his	3
4	32	personal	8
4	33	experiments	11
4	34	on	2
4	35	internal	8
4	36	combustion	10
4	37	engines.	8
5	1	These	5
5	2	experiments	11
5	3	culminated	10
5	4	in	2
5	5	1896	4
5	6	with	4
5	7	the	3
5	8	completion	10
5	9	of	2
5	10	his	3
5	11	own	3
5	12	self-propelled	14
5	13	vehicle	7
5	14	named	5
5	15	the	3
5	16	Quadricycle,	12
5	17	which	5
5	18	he	2
5	19	test-drove	10
5	20	on	2
5	21	June	4
5	22	4	1
5	23	of	2
5	24	that	4
5	25	year.	5
6	1	Ford	4
6	2	was	3
6	3	born	4
6	4	on	2
6	5	a	1
6	6	prosperous	10
6	7	farm	4
6	8	in	2
6	9	Springwells	11
6	10	Township	8
6	11	(now	4
6	12	in	2
6	13	the	3
6	14	city	4
6	15	of	2
6	16	Dearborn,	9
6	17	Michigan)	9
6	18	owned	5
6	19	by	2
6	20	his	3
6	21	parents,	8
6	22	William	7
6	23	Ford	4
6	24	(1826-1905)	11
6	25	and	3
6	26	Mary	4
6	27	Litogot	7
6	28	(c1839-1876),	13
6	29	immigrants	10
6	30	from	4
6	31	County	6
6	32	Cork,	5
6	33	Ireland.	8
7	1	In	2
7	2	the	3
7	3	years	5
7	4	between	7
7	5	the	3
7	6	wars,	5
7	7	Henry	5
7	8	Ford	4
7	9	supported	9
7	10	Adolf	5
7	11	Hitler's	8
7	12	Nazi	4
7	13	regime.	7
8	1	There	5
8	2	is	2
8	3	also	4
8	4	some	4
8	5	evidence	8
8	6	that	4
8	7	Henry	5
8	8	Ford	4
8	9	gave	4
8	10	Adolf	5
8	11	Hitler	6
8	12	direct	6
8	13	financial	9
8	14	backing	7
8	15	when	4
8	16	Hitler	6
8	17	was	3
8	18	first	5
8	19	starting	8
8	20	out	3
8	21	in	2
8	22	politics.	9
9	1	This	4
9	2	can	3
9	3	in	2
9	4	part	4
9	5	be	2
9	6	traced	6
9	7	to	2
9	8	statements	10
9	9	from	4
9	10	Kurt	4
9	11	Ludecke,	8
9	12	Germany's	9
9	13	representative	14
9	14	to	2
9	15	the	3
9	16	U.S.	4
9	17	in	2
9	18	the	3
9	19	1920s,	6
9	20	and	3
9	21	Winifred	8
9	22	Wagner,	7
9	23	daughter-in-law	15
9	24	of	2
9	25	Richard	7
9	26	Wagner,	7
9	27	who	3
9	28	said	4
9	29	they	4
9	30	requested	9
9	31	funds	5
9	32	from	4
9	33	Ford	4
9	34	to	2
9	35	aid	3
9	36	the	3
9	37	National	8
9	38	Socialist	9
9	39	movement	8
9	40	in	2
9	41	Germany.	8
10	1	Although	8
10	2	Ford	4
10	3	is	2
10	4	often	5
10	5	credited	8
10	6	with	4
10	7	the	3
10	8	idea,	5
10	9	contemporary	12
10	10	sources	7
10	11	indicate	8
10	12	that	4
10	13	the	3
10	14	concept	7
10	15	and	3
10	16	its	3
10	17	development	11
10	18	came	4
10	19	from	4
10	20	employees	9
10	21	Clarence	8
10	22	Avery,	6
10	23	Peter	5
10	24	E.	2
10	25	Martin,	7
10	26	Charles	7
10	27	E.	2
10	28	Sorensen,	9
10	29	and	3
10	30	C.H.	4
11	1	Henry	5
11	2	Ford	4
11	3	advocated	9
11	4	long-time	9
11	5	associate	9
11	6	Harry	5
11	7	Bennett	7
11	8	to	2
11	9	take	4
11	10	the	3
11	11	spot.	5
12	1	Edsel's	7
12	2	widow	5
12	3	Eleanor,	8
12	4	who	3
12	5	had	3
12	6	inherited	9
12	7	Edsel's	7
12	8	voting	6
12	9	stock,	6
12	10	wanted	6
12	11	her	3
12	12	son	3
12	13	Henry	5
12	14	Ford	4
12	15	II	2
12	16	to	2
12	17	take	4
12	18	over	4
12	19	the	3
12	20	position.	9
13	1	In	2
13	2	1879,	5
13	3	he	2
13	4	left	4
13	5	home	4
13	6	for	3
13	7	the	3
13	8	nearby	6
13	9	city	4
13	10	of	2
13	11	Detroit	7
13	12	to	2
13	13	work	4
13	14	as	2
13	15	an	2
13	16	apprentice	10
13	17	machinist,	10
13	18	first	5
13	19	with	4
13	20	James	5
13	21	F.	2
13	22	Flower	6
13	23	&	1
13	24	Bros.,	6
13	25	and	3
13	26	later	5
13	27	with	4
13	28	the	3
13	29	Detroit	7
13	30	Dry	3
13	31	Dock	4
13	32	Co.	3
14	1	Alexander	9
14	2	Rae	3
14	3	Baldwin	7
14	4	III	3
14	5	(born	5
14	6	April	5
14	7	3,	2
14	8	1958,	5
14	9	in	2
14	10	Massapequa,	11
14	11	Long	4
14	12	Island,	7
14	13	New	3
14	14	York,	5
14	15	USA)	4
14	16	is	2
14	17	an	2
14	18	American	8
14	19	actor	5
14	20	who	3
14	21	is	2
14	22	the	3
14	23	oldest	6
14	24	and	3
14	25	best	4
14	26	known	5
14	27	of	2
14	28	the	3
14	29	"""Baldwin"	8
14	30	"brothers"","	10
14	31	with	4
14	32	brothers	8
14	33	Daniel,	7
14	34	Stephen	7
14	35	and	3
14	36	William.	8
15	1	He	2
15	2	is	2
15	3	of	2
15	4	three	5
15	5	quarters	8
15	6	Irish	5
15	7	and	3
15	8	one	3
15	9	quarter	7
15	10	French	6
15	11	descent.	8
16	1	Baldwin	7
16	2	has	3
16	3	appeared	8
16	4	in	2
16	5	movies	6
16	6	such	4
16	7	as	2
16	8	The	3
16	9	Cooler,	7
16	10	The	3
16	11	Hunt	4
16	12	for	3
16	13	Red	3
16	14	October,	8
16	15	Beetlejuice,	12
16	16	Ghosts	6
16	17	of	2
16	18	Mississippi,	12
16	19	Talk	4
16	20	Radio,	6
16	21	Final	5
16	22	Fantasy:	8
16	23	The	3
16	24	Spirits	7
16	25	Within	6
16	26	(voice),	8
16	27	The	3
16	28	Cat	3
16	29	in	2
16	30	the	3
16	31	Hat,	4
16	32	Pearl	5
16	33	Harbor,	7
16	34	Thomas	6
16	35	and	3
16	36	the	3
16	37	Magic	5
16	38	Railroad,	9
16	39	Along	5
16	40	Came	4
16	41	Polly,	6
16	42	The	3
16	43	SpongeBob	9
16	44	SquarePants	11
16	45	Movie,	6
16	46	and	3
16	47	The	3
16	48	Aviator.	8
17	1	When	4
17	2	Baldwin	7
17	3	was	3
17	4	young,	6
17	5	he	2
17	6	had	3
17	7	a	1
17	8	job	3
17	9	as	2
17	10	a	1
17	11	busboy	6
17	12	at	2
17	13	famous	6
17	14	New	3
17	15	York	4
17	16	City	4
17	17	disco	5
17	18	Studio	6
17	19	54.	3
18	1	He	2
18	2	was	3
18	3	married	7
18	4	to	2
18	5	actress	7
18	6	Kim	3
18	7	Basinger	8
18	8	from	4
18	9	1993	4
18	10	to	2
18	11	2002.	5
19	1	Baldwin,	8
19	2	a	1
19	3	liberal	7
19	4	Democrat,	9
19	5	has	3
19	6	always	6
19	7	had	3
19	8	an	2
19	9	active	6
19	10	interest	8
19	11	in	2
19	12	politics	8
19	13	and	3
19	14	is	2
19	15	frequently	10
19	16	rumored	7
19	17	to	2
19	18	be	2
19	19	a	1
19	20	candidate	9
19	21	for	3
19	22	public	6
19	23	office.	7
20	1	In	2
20	2	particular,	11
20	3	Baldwin	7
20	4	is	2
20	5	one	3
20	6	of	2
20	7	the	3
20	8	most	4
20	9	frequent	8
20	10	hosts	5
20	11	of	2
20	12	Saturday	8
20	13	Night	5
20	14	Live,	5
20	15	leading	7
20	16	the	3
20	17	show	4
20	18	eleven	6
20	19	times	5
20	20	and	3
20	21	also	4
20	22	making	6
20	23	cameo	5
20	24	appearances	11
20	25	regularly.	10
21	1	He	2
21	2	played	6
21	3	William	7
21	4	Barrett	7
21	5	Travis	6
21	6	in	2
21	7	a	1
21	8	movie	5
21	9	about	5
21	10	the	3
21	11	Alamo	5
21	12	called	6
21	13	Thirteen	8
21	14	Days	4
21	15	of	2
21	16	Glory.	6
22	1	In	2
22	2	1998,	5
22	3	he	2
22	4	began	5
22	5	narrating	9
22	6	the	3
22	7	American	8
22	8	version	7
22	9	of	2
22	10	the	3
22	11	children's	10
22	12	series	6
22	13	Thomas	6
22	14	the	3
22	15	Tank	4
22	16	Engine	6
22	17	and	3
22	18	Friends.	8
23	1	He	2
23	2	is	2
23	3	infamous	8
23	4	for	3
23	5	his	3
23	6	1994	4
23	7	appearance	10
23	8	on	2
23	9	Saturday	8
23	10	Night	5
23	11	Live	4
23	12	as	2
23	13	he	2
23	14	potrays	7
23	15	Mr.	3
23	16	Armstrong,	10
23	17	a	1
23	18	scoutmaster	11
23	19	who	3
23	20	is	2
23	21	a	1
23	22	pedophile,	10
23	23	he	2
23	24	rips	4
23	25	his	3
23	26	shirt	5
23	27	and	3
23	28	puts	4
23	29	his	3
23	30	mouth	5
23	31	around	6
23	32	Adam	4
23	33	Sandler's	9
23	34	neck.	5
24	1	Rosemary	8
24	2	Clooney	7
24	3	(May	4
24	4	23,	3
24	5	1928	4
24	6	-	1
24	7	June	4
24	8	29,	3
24	9	2002)	5
24	10	was	3
24	11	an	2
24	12	American	8
24	13	popular	7
24	14	singer	6
24	15	and	3
24	16	actress.	8
25	1	In	2
25	2	1954	4
25	3	she,	4
25	4	along	5
25	5	with	4
25	6	Bing	4
25	7	Crosby,	7
25	8	Danny	5
25	9	Kaye,	5
25	10	and	3
25	11	nVera-Ellen,	12
25	12	starred	7
25	13	in	2
25	14	the	3
25	15	movie	5
25	16	White	5
25	17	Christmas.	10
26	1	Clooney's	9
26	2	first	5
26	3	recordings,	11
26	4	in	2
26	5	May	3
26	6	of	2
26	7	1946	4
26	8	were	4
26	9	for	3
26	10	Columbia	8
26	11	Records	7
26	12	as	2
26	13	a	1
26	14	singer	6
26	15	with	4
26	16	the	3
26	17	big	3
26	18	band	4
26	19	of	2
26	20	Tony	4
26	21	Pastor.	7
27	1	Rosemary	8
27	2	Clooney	7
27	3	was	3
27	4	married	7
27	5	three	5
27	6	times,	6
27	7	twice	5
27	8	to	2
27	9	Jose	4
27	10	Ferrer	6
27	11	(from	5
27	12	1953	4
27	13	until	5
27	14	1961	4
27	15	and	3
27	16	then	4
27	17	again	5
27	18	from	4
27	19	1964	4
27	20	to	2
27	21	1967)	5
27	22	by	2
27	23	whom	4
27	24	she	3
27	25	had	3
27	26	five	4
27	27	children,	9
27	28	including	9
27	29	actor	5
27	30	Miguel	6
27	31	Ferrer,	7
27	32	born	4
27	33	in	2
27	34	1955,	5
27	35	and	3
27	36	Gabriel	7
27	37	Ferrer,	7
27	38	born	4
27	39	1956,	5
27	40	who	3
27	41	married	7
27	42	Debby	5
27	43	Boone,	6
27	44	and	3
27	45	once	4
27	46	to	2
27	47	Dante	5
27	48	DePaolo	7
27	49	(whom	5
27	50	she	3
27	51	married	7
27	52	in	2
27	53	1997).	6
28	1	Rosemary,	9
28	2	Betty,	6
28	3	and	3
28	4	brother,	8
28	5	Nick,	5
28	6	as	2
28	7	well	4
28	8	as	2
28	9	her	3
28	10	nephew,	7
28	11	George	6
28	12	Clooney	7
28	13	(Nick's	7
28	14	son),	5
28	15	all	3
28	16	became	6
28	17	entertainers.	13
29	1	In	2
29	2	1945	4
29	3	the	3
29	4	Clooney	7
29	5	sisters	7
29	6	won	3
29	7	a	1
29	8	spot	4
29	9	on	2
29	10	Cincinnati's	12
29	11	radio	5
29	12	station	7
29	13	WLW	3
29	14	as	2
29	15	singers.	8
30	1	She	3
30	2	was	3
30	3	born	4
30	4	in	2
30	5	Maysville,	10
30	6	Kentucky,	9
30	7	about	5
30	8	60	2
30	9	miles	5
30	10	up	2
30	11	the	3
30	12	Ohio	4
30	13	River	5
30	14	from	4
30	15	Cincinnati,	11
30	16	Ohio	4
30	17	to	2
30	18	Andrew	6
30	19	Joseph	6
30	20	Clooney	7
30	21	and	3
30	22	Frances	7
30	23	Marie	5
30	24	Guilfoyle,	10
30	25	both	4
30	26	of	2
30	27	whom	4
30	28	were	4
30	29	of	2
30	30	Irish	5
30	31	descent	7
30	32	(Rosemary's	11
30	33	paternal	8
30	34	great-grandparents,	19
30	35	Nicholas	8
30	36	Clooney	7
30	37	and	3
30	38	Bridget	7
30	39	Byron,	6
30	40	were	4
30	41	born	4
30	42	in	2
30	43	Ireland),	9
30	44	although	8
30	45	Clooney's	9
30	46	paternal	8
30	47	grandmother,	12
30	48	Crescentia	10
30	49	Koch,	5
30	50	was	3
30	51	German.	7
31	1	In	2
31	2	1958,	5
31	3	Clooney	7
31	4	left	4
31	5	Columbia,	9
31	6	doing	5
31	7	a	1
31	8	number	6
31	9	of	2
31	10	recordings	10
31	11	for	3
31	12	MGM	3
31	13	Records	7
31	14	and	3
31	15	then	4
31	16	some	4
31	17	for	3
31	18	Coral	5
31	19	Records.	8
32	1	Finally,	8
32	2	toward	6
32	3	the	3
32	4	end	3
32	5	of	2
32	6	1958,	5
32	7	she	3
32	8	signed	6
32	9	with	4
32	10	RCA	3
32	11	Victor	6
32	12	Records,	8
32	13	where	5
32	14	she	3
32	15	stayed	6
32	16	until	5
32	17	1963	4
32	18	except	6
32	19	for	3
32	20	doing	5
32	21	some	4
32	22	recordings	10
32	23	in	2
32	24	1960	4
32	25	for	3
32	26	Reprise	7
32	27	Records.	8
33	1	In	2
33	2	1964	4
33	3	she	3
33	4	went	4
33	5	to	2
33	6	Reprise	7
33	7	again,	6
33	8	shifting	8
33	9	the	3
33	10	next	4
33	11	year	4
33	12	to	2
33	13	Dot	3
33	14	Records.	8
34	1	In	2
34	2	1966	4
34	3	she	3
34	4	went	4
34	5	to	2
34	6	United	6
34	7	Artists	7
34	8	Records.	8
35	1	In	2
35	2	1986	4
35	3	she	3
35	4	sang	4
35	5	a	1
35	6	duet	4
35	7	with	4
35	8	Wild	4
35	9	Man	3
35	10	Fischer	7
35	11	on	2
35	12	"""It's"	5
35	13	a	1
35	14	Hard	4
35	15	"Business""."	10
36	1	Michael	7
