SN	NW	WORD	word_len
1	1	Henry	5
1	2	Ford,	5
1	3	with	4
1	4	his	3
1	5	son	3
1	6	Edsel,	6
1	7	founded	7
1	8	the	3
1	9	Ford	4
1	10	Foundation	10
1	11	in	2
1	12	1936	4
1	13	as	2
1	14	a	1
1	15	local	5
1	16	philanthropic	13
1	17	organization	12
1	18	with	4
1	19	a	1
1	20	broad	5
1	21	charter	7
1	22	to	2
1	23	promote	7
1	24	human	5
1	25	welfare.	8
2	1	After	5
2	2	this	4
2	3	initial	7
2	4	success,	8
2	5	Ford	4
2	6	left	4
2	7	Edison	6
2	8	Illuminating	12
2	9	and,	4
2	10	with	4
2	11	other	5
2	12	investors,	10
2	13	formed	6
2	14	the	3
2	15	Detroit	7
2	16	Automobile	10
2	17	Company.	8
3	1	With	4
3	2	his	3
3	3	interest	8
3	4	in	2
3	5	race	4
3	6	cars,	5
3	7	he	2
3	8	formed	6
3	9	a	1
3	10	second	6
3	11	company,	8
3	12	the	3
3	13	Henry	5
3	14	Ford	4
3	15	Company.	8
4	1	During	6
4	2	this	4
4	3	period,	7
4	4	he	2
4	5	personally	10
4	6	drove	5
4	7	his	3
4	8	Quadricycle	11
4	9	to	2
4	10	victory	7
4	11	in	2
4	12	a	1
4	13	race	4
4	14	against	7
4	15	Alexander	9
4	16	Winton,	7
4	17	a	1
4	18	well-known	10
4	19	driver	6
4	20	and	3
4	21	the	3
4	22	heavy	5
4	23	favorite	8
4	24	on	2
4	25	October	7
4	26	10,	3
4	27	1901.	5
5	1	Ford	4
5	2	was	3
5	3	forced	6
5	4	out	3
5	5	of	2
5	6	the	3
5	7	company	7
5	8	by	2
5	9	the	3
5	10	investors,	10
5	11	including	9
5	12	Henry	5
5	13	M.	2
5	14	Leland	6
5	15	in	2
5	16	1902,	5
5	17	and	3
5	18	the	3
5	19	company	7
5	20	was	3
5	21	reorganized	11
5	22	as	2
5	23	Cadillac.	9
6	1	In	2
6	2	1891,	5
6	3	Ford	4
6	4	became	6
6	5	an	2
6	6	engineer	8
6	7	with	4
6	8	the	3
6	9	Edison	6
6	10	Illuminating	12
6	11	Company,	8
6	12	and	3
6	13	after	5
6	14	his	3
6	15	promotion	9
6	16	to	2
6	17	Chief	5
6	18	Engineer	8
6	19	in	2
6	20	1893,	5
6	21	he	2
6	22	had	3
6	23	enough	6
6	24	time	4
6	25	and	3
6	26	money	5
6	27	to	2
6	28	devote	6
6	29	attention	9
6	30	to	2
6	31	his	3
6	32	personal	8
6	33	experiments	11
6	34	on	2
6	35	internal	8
6	36	combustion	10
6	37	engines.	8
7	1	These	5
7	2	experiments	11
7	3	culminated	10
7	4	in	2
7	5	1896	4
7	6	with	4
7	7	the	3
7	8	completion	10
7	9	of	2
7	10	his	3
7	11	own	3
7	12	self-propelled	14
7	13	vehicle	7
7	14	named	5
7	15	the	3
7	16	Quadricycle,	12
7	17	which	5
7	18	he	2
7	19	test-drove	10
7	20	on	2
7	21	June	4
7	22	4	1
7	23	of	2
7	24	that	4
7	25	year.	5
8	1	Ford	4
8	2	was	3
8	3	born	4
8	4	on	2
8	5	a	1
8	6	prosperous	10
8	7	farm	4
8	8	in	2
8	9	Springwells	11
8	10	Township	8
8	11	(now	4
8	12	in	2
8	13	the	3
8	14	city	4
8	15	of	2
8	16	Dearborn,	9
8	17	Michigan)	9
8	18	owned	5
8	19	by	2
8	20	his	3
8	21	parents,	8
8	22	William	7
8	23	Ford	4
8	24	(1826-1905)	11
8	25	and	3
8	26	Mary	4
8	27	Litogot	7
8	28	(c1839-1876),	13
8	29	immigrants	10
8	30	from	4
8	31	County	6
8	32	Cork,	5
8	33	Ireland.	8
9	1	In	2
9	2	the	3
9	3	years	5
9	4	between	7
9	5	the	3
9	6	wars,	5
9	7	Henry	5
9	8	Ford	4
9	9	supported	9
9	10	Adolf	5
9	11	Hitler's	8
9	12	Nazi	4
9	13	regime.	7
10	1	There	5
10	2	is	2
10	3	also	4
10	4	some	4
10	5	evidence	8
10	6	that	4
10	7	Henry	5
10	8	Ford	4
10	9	gave	4
10	10	Adolf	5
10	11	Hitler	6
10	12	direct	6
10	13	financial	9
10	14	backing	7
10	15	when	4
10	16	Hitler	6
10	17	was	3
10	18	first	5
10	19	starting	8
10	20	out	3
10	21	in	2
10	22	politics.	9
11	1	This	4
11	2	can	3
11	3	in	2
11	4	part	4
11	5	be	2
11	6	traced	6
11	7	to	2
11	8	statements	10
11	9	from	4
11	10	Kurt	4
11	11	Ludecke,	8
11	12	Germany's	9
11	13	representative	14
11	14	to	2
11	15	the	3
11	16	U.S.	4
11	17	in	2
11	18	the	3
11	19	1920s,	6
11	20	and	3
11	21	Winifred	8
11	22	Wagner,	7
11	23	daughter-in-law	15
11	24	of	2
11	25	Richard	7
11	26	Wagner,	7
11	27	who	3
11	28	said	4
11	29	they	4
11	30	requested	9
11	31	funds	5
11	32	from	4
11	33	Ford	4
11	34	to	2
11	35	aid	3
11	36	the	3
11	37	National	8
11	38	Socialist	9
11	39	movement	8
11	40	in	2
11	41	Germany.	8
12	1	Although	8
12	2	Ford	4
12	3	is	2
12	4	often	5
12	5	credited	8
12	6	with	4
12	7	the	3
12	8	idea,	5
12	9	contemporary	12
12	10	sources	7
12	11	indicate	8
12	12	that	4
12	13	the	3
12	14	concept	7
12	15	and	3
12	16	its	3
12	17	development	11
12	18	came	4
12	19	from	4
12	20	employees	9
12	21	Clarence	8
12	22	Avery,	6
12	23	Peter	5
12	24	E.	2
12	25	Martin,	7
12	26	Charles	7
12	27	E.	2
12	28	Sorensen,	9
12	29	and	3
12	30	C.H.	4
12	31	Wills.	6
13	1	Henry	5
13	2	Ford	4
13	3	advocated	9
13	4	long-time	9
13	5	associate	9
13	6	Harry	5
13	7	Bennett	7
13	8	to	2
13	9	take	4
13	10	the	3
13	11	spot.	5
14	1	Edsel's	7
14	2	widow	5
14	3	Eleanor,	8
14	4	who	3
14	5	had	3
14	6	inherited	9
14	7	Edsel's	7
14	8	voting	6
14	9	stock,	6
14	10	wanted	6
14	11	her	3
14	12	son	3
14	13	Henry	5
14	14	Ford	4
14	15	II	2
14	16	to	2
14	17	take	4
14	18	over	4
14	19	the	3
14	20	position.	9
15	1	In	2
15	2	1879,	5
15	3	he	2
15	4	left	4
15	5	home	4
15	6	for	3
15	7	the	3
15	8	nearby	6
15	9	city	4
15	10	of	2
15	11	Detroit	7
15	12	to	2
15	13	work	4
15	14	as	2
15	15	an	2
15	16	apprentice	10
15	17	machinist,	10
15	18	first	5
15	19	with	4
15	20	James	5
15	21	F.	2
15	22	Flower	6
15	23	&	1
15	24	Bros.,	6
15	25	and	3
15	26	later	5
15	27	with	4
15	28	the	3
15	29	Detroit	7
15	30	Dry	3
15	31	Dock	4
15	32	Co.	3
16	1	Alexander	9
16	2	Rae	3
16	3	Baldwin	7
16	4	III	3
16	5	(born	5
16	6	April	5
16	7	3,	2
16	8	1958,	5
16	9	in	2
16	10	Massapequa,	11
16	11	Long	4
16	12	Island,	7
16	13	New	3
16	14	York,	5
16	15	USA)	4
16	16	is	2
16	17	an	2
16	18	American	8
16	19	actor	5
16	20	who	3
16	21	is	2
16	22	the	3
16	23	oldest	6
16	24	and	3
16	25	best	4
16	26	known	5
16	27	of	2
16	28	the	3
16	29	"""Baldwin"	8
16	30	"brothers"","	10
16	31	with	4
16	32	brothers	8
16	33	Daniel,	7
16	34	Stephen	7
16	35	and	3
16	36	William.	8
17	1	He	2
17	2	is	2
17	3	of	2
17	4	three	5
17	5	quarters	8
17	6	Irish	5
17	7	and	3
17	8	one	3
17	9	quarter	7
17	10	French	6
17	11	descent.	8
18	1	Baldwin	7
18	2	has	3
18	3	appeared	8
18	4	in	2
18	5	movies	6
18	6	such	4
18	7	as	2
18	8	The	3
18	9	Cooler,	7
18	10	The	3
18	11	Hunt	4
18	12	for	3
18	13	Red	3
18	14	October,	8
18	15	Beetlejuice,	12
18	16	Ghosts	6
18	17	of	2
18	18	Mississippi,	12
18	19	Talk	4
18	20	Radio,	6
18	21	Final	5
18	22	Fantasy:	8
18	23	The	3
18	24	Spirits	7
18	25	Within	6
18	26	(voice),	8
18	27	The	3
18	28	Cat	3
18	29	in	2
18	30	the	3
18	31	Hat,	4
18	32	Pearl	5
18	33	Harbor,	7
18	34	Thomas	6
18	35	and	3
18	36	the	3
18	37	Magic	5
18	38	Railroad,	9
18	39	Along	5
18	40	Came	4
18	41	Polly,	6
18	42	The	3
18	43	SpongeBob	9
18	44	SquarePants	11
18	45	Movie,	6
18	46	and	3
18	47	The	3
18	48	Aviator.	8
19	1	When	4
19	2	Baldwin	7
19	3	was	3
19	4	young,	6
19	5	he	2
19	6	had	3
19	7	a	1
19	8	job	3
19	9	as	2
19	10	a	1
19	11	busboy	6
19	12	at	2
19	13	famous	6
19	14	New	3
19	15	York	4
19	16	City	4
19	17	disco	5
19	18	Studio	6
19	19	54.	3
20	1	He	2
20	2	was	3
20	3	married	7
20	4	to	2
20	5	actress	7
20	6	Kim	3
20	7	Basinger	8
20	8	from	4
20	9	1993	4
20	10	to	2
20	11	2002.	5
21	1	Baldwin,	8
21	2	a	1
21	3	liberal	7
21	4	Democrat,	9
21	5	has	3
21	6	always	6
21	7	had	3
21	8	an	2
21	9	active	6
21	10	interest	8
21	11	in	2
21	12	politics	8
21	13	and	3
21	14	is	2
21	15	frequently	10
21	16	rumored	7
21	17	to	2
21	18	be	2
21	19	a	1
21	20	candidate	9
21	21	for	3
21	22	public	6
21	23	office.	7
22	1	In	2
22	2	particular,	11
22	3	Baldwin	7
22	4	is	2
22	5	one	3
22	6	of	2
22	7	the	3
22	8	most	4
22	9	frequent	8
22	10	hosts	5
22	11	of	2
22	12	Saturday	8
22	13	Night	5
22	14	Live,	5
22	15	leading	7
22	16	the	3
22	17	show	4
22	18	eleven	6
22	19	times	5
22	20	and	3
22	21	also	4
22	22	making	6
22	23	cameo	5
22	24	appearances	11
22	25	regularly.	10
23	1	He	2
23	2	played	6
23	3	William	7
23	4	Barrett	7
23	5	Travis	6
23	6	in	2
23	7	a	1
23	8	movie	5
23	9	about	5
23	10	the	3
23	11	Alamo	5
23	12	called	6
23	13	Thirteen	8
23	14	Days	4
23	15	of	2
23	16	Glory.	6
24	1	In	2
24	2	1998,	5
24	3	he	2
24	4	began	5
24	5	narrating	9
24	6	the	3
24	7	American	8
24	8	version	7
24	9	of	2
24	10	the	3
24	11	children's	10
24	12	series	6
24	13	Thomas	6
24	14	the	3
24	15	Tank	4
24	16	Engine	6
24	17	and	3
24	18	Friends.	8
25	1	He	2
25	2	is	2
25	3	infamous	8
25	4	for	3
25	5	his	3
25	6	1994	4
25	7	appearance	10
25	8	on	2
25	9	Saturday	8
25	10	Night	5
25	11	Live	4
25	12	as	2
25	13	he	2
25	14	potrays	7
25	15	Mr.	3
25	16	Armstrong,	10
25	17	a	1
