vp	condition	session	file	set
1	N	1	vp1_1	1
2	N	1	vp2_1	2
3	N	1	vp3_1	3
4	N	1	vp4_1	4
5	N	1	vp5_1	5
6	N	1	vp6_1	6
7	N	1	vp7_1	7
8	N	1	vp8_1	8
9	N	1	vp9_1	9
11	N	1	vp11_1	10
12	N	1	vp12_1	11
13	N	1	vp13_1	12
14	N	1	vp14_1	13
15	N	1	vp15_1	14
16	N	1	vp16_1	15
17	N	1	vp17_1	16
18	N	1	vp18_1	17
19	N	1	vp19_1	18
20	N	1	vp20_1	19
21	N	1	vp21_1	20
22	N	1	vp22_1	21
23	N	1	vp23_1	22
24	N	1	vp24_1	23
25	N	1	vp25_1	24
26	N	1	vp26_1	25
27	N	1	vp27_1	26
28	N	1	vp28_1	27
29	N	1	vp29_1	28
30	N	1	vp30_1	29
31	N	1	vp31_1	30
32	N	1	vp32_1	31
33	N	1	vp33_1	32
34	N	1	vp34_1	33
35	N	1	vp35_1	34
36	N	1	vp36_1	35
37	N	1	vp37_1	36
1	mW	2	vp1_2	37
2	mW	2	vp2_2	38
3	mW	2	vp3_2	39
4	mW	2	vp4_2	40
5	mW	2	vp5_2	41
6	mW	2	vp6_2	42
7	mW	2	vp7_2	43
8	mW	2	vp8_2	44
9	mW	2	vp9_2	45
11	mL	2	vp11_2	46
12	mL	2	vp12_2	47
13	mL	2	vp13_2	48
14	mL	2	vp14_2	49
15	mL	2	vp15_2	50
16	mL	2	vp16_2	51
17	mL	2	vp17_2	52
18	mL	2	vp18_2	53
19	iW	2	vp19_2	54
20	iW	2	vp20_2	55
21	iW	2	vp21_2	56
22	iW	2	vp22_2	57
23	iW	2	vp23_2	58
24	iW	2	vp24_2	59
25	iW	2	vp25_2	60
26	iW	2	vp26_2	61
27	iW	2	vp27_2	62
28	sL	2	vp28_2	63
29	sL	2	vp29_2	64
30	sL	2	vp30_2	65
31	sL	2	vp31_2	66
32	sL	2	vp32_2	67
33	sL	2	vp33_2	68
34	sL	2	vp34_2	69
35	sL	2	vp35_2	70
36	sL	2	vp36_2	71
37	mL	2	vp37_2	72
